"","Tree","DBH (in)","DBH.cm","Height (ft)","Ht.m","LCBH (ft)","LCBH.m"
"1",1,6.7,17.018,61,18.5928,46,14.0208
"2",2,5,12.7,52.2,15.91056,36.3,11.06424
"3",3,7.2,18.288,63.8,19.44624,44,13.4112
"4",4,8.6,21.844,63,19.2024,44.3,13.50264
"5",5,7.1,18.034,61,18.5928,40.2,12.25296
"6",6,3.8,9.652,49.7,15.14856,35.7,10.88136
"7",7,8.3,21.082,66.2,20.17776,52.5,16.002
"8",8,6,15.24,58.2,17.73936,40.3,12.28344
"9",9,5.3,13.462,58.9,17.95272,38.3,11.67384
"10",10,9.4,23.876,64,19.5072,44.5,13.5636
"11",11,4.9,12.446,49.8,15.17904,39,11.8872
"12",12,9.6,24.384,68,20.7264,39.9,12.16152
"13",13,5.7,14.478,51.1,15.57528,28.1,8.56488
"14",14,7.6,19.304,64.8,19.75104,37.5,11.43
"15",15,6.2,15.748,61.4,18.71472,39.4,12.00912
"16",16,5.1,12.954,52.3,15.94104,32,9.7536
"17",17,7.4,18.796,59.5,18.1356,36.5,11.1252
"18",18,4.2,10.668,44.4,13.53312,32,9.7536
"19",19,4.6,11.684,50,15.24,31.3,9.54024
"20",20,3.7,9.398,41,12.4968,25.7,7.83336
"21",21,9.2,23.368,67,20.4216,37.4,11.39952
"22",22,6.3,16.002,56.8,17.31264,32.4,9.87552
"23",23,4.4,11.176,51.7,15.75816,37.7,11.49096
"24",24,3.2,8.128,34.7,10.57656,23.3,7.10184
"25",25,3.5,8.89,40.2,12.25296,28,8.5344
"26",26,5.3,13.462,55.3,16.85544,31.8,9.69264
"27",27,8.6,21.844,60.4,18.40992,37,11.2776
"28",28,8.8,22.352,67.2,20.48256,44.5,13.5636
