"","plot","dbh.mid","st.ha"
"1","p01",0.96,0
"2","p01",2.96,24.7
"3","p01",4.96,0
"4","p01",6.96,148.3
"5","p01",8.96,395.4
"6","p01",10.96,296.5
"7","p01",12.96,296.5
"8","p01",14.96,271.8
"9","p01",16.96,321.2
"10","p01",18.96,197.7
"11","p01",20.96,0
"12","p01",22.96,98.8
"13","p01",24.96,24.7
"14","p01",26.96,0
"15","p02",0.96,0
"16","p02",2.96,0
"17","p02",4.96,0
"18","p02",6.96,345.9
"19","p02",8.96,321.2
"20","p02",10.96,469.5
"21","p02",12.96,395.4
"22","p02",14.96,370.6
"23","p02",16.96,98.8
"24","p02",18.96,173
"25","p02",20.96,49.4
"26","p02",22.96,0
"27","p02",24.96,0
"28","p02",26.96,0
"29","p03",0.96,0
"30","p03",2.96,0
"31","p03",4.96,98.8
"32","p03",6.96,98.8
"33","p03",8.96,543.6
"34","p03",10.96,469.5
"35","p03",12.96,568.3
"36","p03",14.96,444.8
"37","p03",16.96,197.7
"38","p03",18.96,222.4
"39","p03",20.96,148.3
"40","p03",22.96,49.4
"41","p03",24.96,0
"42","p03",26.96,0
"43","p04",0.96,0
"44","p04",2.96,0
"45","p04",4.96,0
"46","p04",6.96,0
"47","p04",8.96,173
"48","p04",10.96,321.2
"49","p04",12.96,543.6
"50","p04",14.96,271.8
"51","p04",16.96,321.2
"52","p04",18.96,74.1
"53","p04",20.96,98.8
"54","p04",22.96,49.4
"55","p04",24.96,24.7
"56","p04",26.96,0
"57","p05",0.96,0
"58","p05",2.96,0
"59","p05",4.96,0
"60","p05",6.96,148.3
"61","p05",8.96,345.9
"62","p05",10.96,345.9
"63","p05",12.96,642.5
"64","p05",14.96,173
"65","p05",16.96,247.1
"66","p05",18.96,148.3
"67","p05",20.96,74.1
"68","p05",22.96,49.4
"69","p05",24.96,24.7
"70","p05",26.96,0
"71","p06",0.96,0
"72","p06",2.96,0
"73","p06",4.96,0
"74","p06",6.96,148.3
"75","p06",8.96,173
"76","p06",10.96,247.1
"77","p06",12.96,469.5
"78","p06",14.96,370.6
"79","p06",16.96,197.7
"80","p06",18.96,123.6
"81","p06",20.96,98.8
"82","p06",22.96,49.4
"83","p06",24.96,24.7
"84","p06",26.96,0
"85","p07",0.96,0
"86","p07",2.96,0
"87","p07",4.96,49.4
"88","p07",6.96,173
"89","p07",8.96,444.8
"90","p07",10.96,395.4
"91","p07",12.96,370.6
"92","p07",14.96,321.2
"93","p07",16.96,197.7
"94","p07",18.96,49.4
"95","p07",20.96,148.3
"96","p07",22.96,0
"97","p07",24.96,0
"98","p07",26.96,0
"99","p08",0.96,0
"100","p08",2.96,0
"101","p08",4.96,0
"102","p08",6.96,98.8
"103","p08",8.96,296.5
"104","p08",10.96,296.5
"105","p08",12.96,370.6
"106","p08",14.96,296.5
"107","p08",16.96,222.4
"108","p08",18.96,148.3
"109","p08",20.96,98.8
"110","p08",22.96,0
"111","p08",24.96,0
"112","p08",26.96,49.4
"113","p09",0.96,0
"114","p09",2.96,0
"115","p09",4.96,49.4
"116","p09",6.96,173
"117","p09",8.96,247.1
"118","p09",10.96,321.2
"119","p09",12.96,469.5
"120","p09",14.96,321.2
"121","p09",16.96,173
"122","p09",18.96,148.3
"123","p09",20.96,24.7
"124","p09",22.96,0
"125","p09",24.96,0
"126","p09",26.96,0
"127","p10",0.96,0
"128","p10",2.96,0
"129","p10",4.96,0
"130","p10",6.96,24.7
"131","p10",8.96,123.6
"132","p10",10.96,197.7
"133","p10",12.96,420.1
"134","p10",14.96,271.8
"135","p10",16.96,197.7
"136","p10",18.96,222.4
"137","p10",20.96,148.3
"138","p10",22.96,24.7
"139","p10",24.96,0
"140","p10",26.96,0
"141","p11",0.96,0
"142","p11",2.96,0
"143","p11",4.96,49.4
"144","p11",6.96,74.1
"145","p11",8.96,222.4
"146","p11",10.96,222.4
"147","p11",12.96,444.8
"148","p11",14.96,345.9
"149","p11",16.96,370.6
"150","p11",18.96,123.6
"151","p11",20.96,24.7
"152","p11",22.96,0
"153","p11",24.96,0
"154","p11",26.96,0
"155","p12",0.96,0
"156","p12",2.96,0
"157","p12",4.96,49.4
"158","p12",6.96,74.1
"159","p12",8.96,370.6
"160","p12",10.96,518.9
"161","p12",12.96,370.6
"162","p12",14.96,247.1
"163","p12",16.96,296.5
"164","p12",18.96,123.6
"165","p12",20.96,49.4
"166","p12",22.96,0
"167","p12",24.96,0
"168","p12",26.96,0
