"","plot","dbh.mid","st.ha"
"1","p01",0.96,0
"2","p01",2.96,321.2
"3","p01",4.96,123.6
"4","p01",6.96,123.6
"5","p01",8.96,24.7
"6","p01",10.96,49.4
"7","p01",12.96,24.7
"8","p01",14.96,0
"9","p01",16.96,24.7
"10","p01",18.96,0
"11","p01",20.96,0
"12","p01",22.96,0
"13","p01",24.96,0
"14","p01",26.96,0
"15","p02",0.96,0
"16","p02",2.96,247.1
"17","p02",4.96,395.4
"18","p02",6.96,395.4
"19","p02",8.96,74.1
"20","p02",10.96,49.4
"21","p02",12.96,49.4
"22","p02",14.96,0
"23","p02",16.96,0
"24","p02",18.96,0
"25","p02",20.96,0
"26","p02",22.96,0
"27","p02",24.96,0
"28","p02",26.96,0
"29","p03",0.96,0
"30","p03",2.96,321.2
"31","p03",4.96,123.6
"32","p03",6.96,98.8
"33","p03",8.96,98.8
"34","p03",10.96,74.1
"35","p03",12.96,49.4
"36","p03",14.96,0
"37","p03",16.96,0
"38","p03",18.96,0
"39","p03",20.96,0
"40","p03",22.96,0
"41","p03",24.96,0
"42","p03",26.96,0
"43","p04",0.96,0
"44","p04",2.96,395.4
"45","p04",4.96,222.4
"46","p04",6.96,148.3
"47","p04",8.96,98.8
"48","p04",10.96,74.1
"49","p04",12.96,0
"50","p04",14.96,24.7
"51","p04",16.96,24.7
"52","p04",18.96,0
"53","p04",20.96,0
"54","p04",22.96,0
"55","p04",24.96,0
"56","p04",26.96,0
"57","p05",0.96,0
"58","p05",2.96,444.8
"59","p05",4.96,321.2
"60","p05",6.96,123.6
"61","p05",8.96,24.7
"62","p05",10.96,98.8
"63","p05",12.96,0
"64","p05",14.96,24.7
"65","p05",16.96,0
"66","p05",18.96,0
"67","p05",20.96,0
"68","p05",22.96,0
"69","p05",24.96,0
"70","p05",26.96,0
"71","p06",0.96,0
"72","p06",2.96,148.3
"73","p06",4.96,98.8
"74","p06",6.96,123.6
"75","p06",8.96,24.7
"76","p06",10.96,0
"77","p06",12.96,24.7
"78","p06",14.96,0
"79","p06",16.96,0
"80","p06",18.96,0
"81","p06",20.96,0
"82","p06",22.96,0
"83","p06",24.96,0
"84","p06",26.96,0
"85","p07",0.96,0
"86","p07",2.96,296.5
"87","p07",4.96,74.1
"88","p07",6.96,123.6
"89","p07",8.96,148.3
"90","p07",10.96,222.4
"91","p07",12.96,49.4
"92","p07",14.96,24.7
"93","p07",16.96,0
"94","p07",18.96,0
"95","p07",20.96,0
"96","p07",22.96,0
"97","p07",24.96,0
"98","p07",26.96,0
"99","p08",0.96,0
"100","p08",2.96,247.1
"101","p08",4.96,222.4
"102","p08",6.96,74.1
"103","p08",8.96,24.7
"104","p08",10.96,148.3
"105","p08",12.96,173
"106","p08",14.96,74.1
"107","p08",16.96,24.7
"108","p08",18.96,24.7
"109","p08",20.96,0
"110","p08",22.96,0
"111","p08",24.96,0
"112","p08",26.96,0
"113","p09",0.96,0
"114","p09",2.96,593
"115","p09",4.96,370.6
"116","p09",6.96,247.1
"117","p09",8.96,98.8
"118","p09",10.96,98.8
"119","p09",12.96,24.7
"120","p09",14.96,0
"121","p09",16.96,0
"122","p09",18.96,0
"123","p09",20.96,0
"124","p09",22.96,0
"125","p09",24.96,0
"126","p09",26.96,0
"127","p10",0.96,0
"128","p10",2.96,469.5
"129","p10",4.96,222.4
"130","p10",6.96,173
"131","p10",8.96,74.1
"132","p10",10.96,173
"133","p10",12.96,74.1
"134","p10",14.96,24.7
"135","p10",16.96,49.4
"136","p10",18.96,0
"137","p10",20.96,0
"138","p10",22.96,24.7
"139","p10",24.96,0
"140","p10",26.96,0
"141","p11",0.96,148.3
"142","p11",2.96,864.8
"143","p11",4.96,345.9
"144","p11",6.96,222.4
"145","p11",8.96,148.3
"146","p11",10.96,98.8
"147","p11",12.96,49.4
"148","p11",14.96,0
"149","p11",16.96,0
"150","p11",18.96,0
"151","p11",20.96,0
"152","p11",22.96,0
"153","p11",24.96,0
"154","p11",26.96,0
"155","p12",0.96,98.8
"156","p12",2.96,889.6
"157","p12",4.96,271.8
"158","p12",6.96,321.2
"159","p12",8.96,173
"160","p12",10.96,24.7
"161","p12",12.96,0
"162","p12",14.96,49.4
"163","p12",16.96,0
"164","p12",18.96,24.7
"165","p12",20.96,0
"166","p12",22.96,0
"167","p12",24.96,0
"168","p12",26.96,0
